Distance,Obstacle,Number_Users,Speed
10,0,1,9.4
10,1,4,4.7
30,0,3,5
10,0,2,7.2
50,0,1,10.8
30,0,4,4.8
30,0,1,12.1
10,1,3,5.2
10,1,4,5.3
50,1,2,8.3
50,0,3,6.5
50,0,1,9.9
30,0,4,4.6
30,0,4,5.9
50,0,2,6.6
30,1,1,10.5
30,1,2,7.5
50,0,3,5.5
30,1,1,10.1
50,1,4,2.9
10,0,4,5.8
10,1,4,4.6
10,0,4,4.5
30,1,3,4.2
50,1,1,9.3
50,1,3,4.3
30,1,1,9.1
30,1,3,5.2
30,0,1,10.9
50,0,4,6.1
10,0,1,7.6
30,1,4,4.4
50,0,4,4.5
30,0,3,5.2
50,0,2,9.2
10,1,2,6.6
10,0,3,5
50,0,4,4.7
30,0,2,7.6
50,1,4,3
30,1,3,4.3
10,1,1,11.5
30,0,2,7.7
10,0,2,6.9
10,0,1,10.7
10,0,3,5.3
50,1,4,2.3
10,0,2,6.6
30,1,2,7.5
30,1,2,6.9
50,0,2,7.1
10,0,3,5.7
10,0,1,9.2
50,1,3,5
50,1,3,3.8
10,0,3,5.5
10,1,2,6.9
10,1,1,13.9
10,1,3,5.3
50,1,1,8.9
30,1,4,4.4
50,1,1,8.9
10,1,3,5.8
30,0,1,10.5
50,0,2,7.4
50,1,4,4.2
30,1,4,4.7
50,0,3,5.8
50,0,4,5.2
10,1,3,5
10,1,1,10.5
30,1,1,11
10,0,4,4.6
30,1,2,6.6
50,1,3,3.5
10,1,2,8.8
30,1,3,5.2
30,0,3,5.6
50,0,1,10.3
30,1,1,8.8
50,0,1,11.2
30,1,4,3.9
30,0,3,7.2
50,1,1,11.8
30,0,4,4.9
50,1,3,3.8
50,1,2,8.1
30,0,1,11.5
10,0,1,9.5
30,1,3,4.7
30,1,4,4.1
50,0,1,14
50,1,2,7.3
50,0,4,4.2
10,1,1,9.8
10,1,1,11.1
50,1,4,3.7
30,0,2,7.5
10,1,3,5.7
10,0,4,4.1
50,1,1,9.2
10,1,4,5.3
50,1,2,6.6
10,1,4,4.5
30,0,3,5.6
10,1,2,6.7
50,0,3,5.5
10,0,3,5
30,0,4,5
50,0,2,7
10,1,2,9.5
30,1,2,6.8
30,0,2,8.1
30,0,1,10.1
10,0,2,7.7
10,0,2,7.4
30,0,2,8.5
50,0,3,5
10,0,4,4.4
50,1,2,5.6